regex,score
([^.?!]*)(\b((al-shabaab)|(al[\s]?shabaab)|(terrorism)|(terrorists?)|(extremists?)|(militants?)|(insurgents?))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),203
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((car bombs?)|(suicide bomb(ing)?)|(assassination)|(assassinated?)),204
([^.?!]*)(\b((car bombs?)|(suicide bomb(ing)?)|(assassination)|(assassinated?))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),205
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((crimes?)|(criminals?)),206
([^.?!]*)(\b((crimes?)|(criminals?))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),207
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((anarchy)|(lawless(ness)?)|(machafuko)|(wahalifu)),208
([^.?!]*)(\b((anarchy)|(lawless(ness)?)|(machafuko)|(wahalifu))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),209
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((political scandals?)|(political misconduct)),210
([^.?!]*)(\b((political scandals?)|(political misconduct))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),211
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((genocide)|(ethnic cleansing)|(mass killings?)),212
([^.?!]*)(\b((genocide)|(ethnic cleansing)|(mass killings?))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),213
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(propaganda),214
([^.?!]*)(\b(propaganda)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),215
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(social unrest)|(public unrest)|(public order),216
([^.?!]*)(\b(social unrest)|(public unrest)|(public order)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),217
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((public outcry)|(public outrage)),218
([^.?!]*)(\b((public outcry)|(public outrage))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),219
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((government reforms?)|(policy reforms?)|(political reforms?)|(change in government)),220
([^.?!]*)(\b((government reforms?)|(policy reforms?)|(political reforms?)|(change in government))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),221
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((protests?)|(mageuzi)),222
([^.?!]*)(\b((protests?)|(mageuzi))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),223
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((rebellion)|(revolution)|(revolt)|(resistance)|(riots?)|(molotov)|(coup)|(uasi)|(upinzani)),224
([^.?!]*)(\b((rebellion)|(revolution)|(revolt)|(resistance)|(riots?)|(molotov)|(coup)|(uasi)|(upinzani))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),225
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((anti[\s]?gov(ernment)?)|(anti[-]gov(ernment)?)),226
([^.?!]*)(\b((anti[\s]?gov(ernment)?)|(anti[-]gov(ernment)?))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),227
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(political stability),228
([^.?!]*)(\b(political stability)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),229
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((politically unstable)|(political instability)),230
([^.?!]*)(\b((politically unstable)|(political instability))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),231
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((public dissent)|(civil disobedience)),232
([^.?!]*)(\b((public dissent)|(civil disobedience))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),233
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((gov(ernment)? corruption)?|(corrupt gov(ernment)?)),234
([^.?!]*)(\b((gov(ernment)? corruption)?|(corrupt gov(ernment)?))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),235
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)((bureacracy)|(bureacrats?)),236
([^.?!]*)(\b((bureacracy)|(bureacrats?))\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),237
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(illegitimate government),238
([^.?!]*)(\b(illegitimate government)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),239
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(Brexit),240
([^.?!]*)(\b(Brexit)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),241
([^.?!]*)(\b((Kenya('s)?)|(kenyans?)|(wakenya))\b)([^.?!]*)(homeless(ness)?),242
([^.?!]*)(\b(homeless(ness)?)\b)([^.?!]*)((Kenya('s)?)|(kenyans?)|(wakenya)),243
([^.?!]*)(\b(([#]cdnpoli)|([#]canpoli))\b)([^.?!]*),246
([^.?!]*)(\b((CBC)|(Canadian Broadcast Company))\b)([^.?!]*)((fake news)|(propaganda)),247
([^.?!]*)(\b((fake news)|(propaganda))\b)([^.?!]*)((CBC)|(Canadian Broadcast Company)),248
([^.?!]*)(\b((starlight tours?)|(midnight blue tours?)|(Saskatoon freezing deaths?))\b)([^.?!]*),252
([^.?!]*)(\b((@JustinTrudeau)|(Trudeau)|([@]CanadianPM))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),253
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)((@JustinTrudeau)|(Trudeau)|([@]CanadianPM)),254
([^.?!]*)(\b((@JustinTrudeau)|(Trudeau)|([@]CanadianPM))\b)([^.?!]*)((integrity)|(unfit)),255
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((@JustinTrudeau)|(Trudeau)|([@]CanadianPM)),256
([^.?!]*)(\b((@JustinTrudeau)|(Trudeau)|([@]CanadianPM))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),257
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)((@JustinTrudeau)|(Trudeau)|([@]CanadianPM)),258
([^.?!]*)(\b((@JustinTrudeau)|(Trudeau)|([@]CanadianPM))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),259
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((@JustinTrudeau)|(Trudeau)|([@]CanadianPM)),260
([^.?!]*)(\b((@JustinTrudeau)|(Trudeau)|([@]CanadianPM))\b)([^.?!]*)((tyrant)|(facist)|(dictator)|(despot(ic)?)|(abuse of power)|(undemocratic)|(authoritarian)),261
([^.?!]*)(\b((tyrant)|(facist)|(dictator)|(despot(ic)?)|(abuse of power)|(undemocratic)|(authoritarian))\b)([^.?!]*)((@JustinTrudeau)|(Trudeau)|([@]CanadianPM)),262
([^.?!]*)(\b((@JustinTrudeau)|(Trudeau)|([@]CanadianPM))\b)([^.?!]*)((impeach)|(kick out)|(vote out)|(overturn)|(overthrow)),263
([^.?!]*)(\b((impeach)|(kick out)|(vote out)|(overturn)|(overthrow))\b)([^.?!]*)((@JustinTrudeau)|(Trudeau)|([@]CanadianPM)),264
([^.?!]*)(\b(bailout)\b)([^.?!]*)(bombardier),265
([^.?!]*)(\b(bombardier)\b)([^.?!]*)(bailout),266
([^.?!]*)(\b((honourable David Johnston)|(gg David Johnston)|(governour general David johnston))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),267
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)((honourable David Johnston)|(gg David Johnston)|(governour general David johnston)),268
([^.?!]*)(\b((honourable David Johnston)|(gg David Johnston)|(governour general David johnston))\b)([^.?!]*)((integrity)|(unfit)),269
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((honourable David Johnston)|(gg David Johnston)|(governour general David johnston)),270
([^.?!]*)(\b((honourable David Johnston)|(gg David Johnston)|(governour general David johnston))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),271
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)((honourable David Johnston)|(gg David Johnston)|(governour general David johnston)),272
([^.?!]*)(\b((honourable David Johnston)|(gg David Johnston)|(governour general David johnston))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),273
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((honourable David Johnston)|(gg David Johnston)|(governour general David johnston)),274
([^.?!]*)(\b((George Furey)|([@]GeorgeFureyNL))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),275
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)((George Furey)|([@]GeorgeFureyNL)),276
([^.?!]*)(\b((George Furey)|([@]GeorgeFureyNL))\b)([^.?!]*)((integrity)|(unfit)),277
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((George Furey)|([@]GeorgeFureyNL)),278
([^.?!]*)(\b((George Furey)|([@]GeorgeFureyNL))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),279
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)((George Furey)|([@]GeorgeFureyNL)),280
([^.?!]*)(\b((George Furey)|([@]GeorgeFureyNL))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),281
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((George Furey)|([@]GeorgeFureyNL)),282
([^.?!]*)(\b((Geoff Regan)|([@]geoffregan)|([@]HoCSpeaker))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),283
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)((Geoff Regan)|([@]geoffregan)|([@]HoCSpeaker)),284
([^.?!]*)(\b((Geoff Regan)|([@]geoffregan)|([@]HoCSpeaker))\b)([^.?!]*)((integrity)|(unfit)),285
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Geoff Regan)|([@]geoffregan)|([@]HoCSpeaker)),286
([^.?!]*)(\b((Geoff Regan)|([@]geoffregan)|([@]HoCSpeaker))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),287
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Geoff Regan)|([@]geoffregan)|([@]HoCSpeaker)),288
([^.?!]*)(\b((Geoff Regan)|([@]geoffregan)|([@]HoCSpeaker))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),289
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Geoff Regan)|([@]geoffregan)|([@]HoCSpeaker)),290
([^.?!]*)(\b(([@]stephenharper)|(Stephen Harper))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),291
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)(([@]stephenharper)|(Stephen Harper)),292
([^.?!]*)(\b(([@]stephenharper)|(Stephen Harper))\b)([^.?!]*)((integrity)|(unfit)),293
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)(([@]stephenharper)|(Stephen Harper)),294
([^.?!]*)(\b(([@]stephenharper)|(Stephen Harper))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),295
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)(([@]stephenharper)|(Stephen Harper)),296
([^.?!]*)(\b(([@]stephenharper)|(Stephen Harper))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),297
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)(([@]stephenharper)|(Stephen Harper)),298
([^.?!]*)(\b(([@]ThomasMulcair)|(Tom Mulcair))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),299
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)(([@]ThomasMulcair)|(Tom Mulcair)),300
([^.?!]*)(\b(([@]ThomasMulcair)|(Tom Mulcair))\b)([^.?!]*)((integrity)|(unfit)),301
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)(([@]ThomasMulcair)|(Tom Mulcair)),302
([^.?!]*)(\b(([@]ThomasMulcair)|(Tom Mulcair))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),303
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)(([@]ThomasMulcair)|(Tom Mulcair)),304
([^.?!]*)(\b(([@]ThomasMulcair)|(Tom Mulcair))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),305
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)(([@]ThomasMulcair)|(Tom Mulcair)),306
([^.?!]*)(\b(([@]AndrewScheer)|(Andrew Scheer))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),307
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)(([@]AndrewScheer)|(Andrew Scheer)),308
([^.?!]*)(\b(([@]AndrewScheer)|(Andrew Scheer))\b)([^.?!]*)((integrity)|(unfit)),309
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)(([@]AndrewScheer)|(Andrew Scheer)),310
([^.?!]*)(\b(([@]AndrewScheer)|(Andrew Scheer))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),311
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)(([@]AndrewScheer)|(Andrew Scheer)),312
([^.?!]*)(\b(([@]AndrewScheer)|(Andrew Scheer))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),313
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)(([@]AndrewScheer)|(Andrew Scheer)),314
([^.?!]*)(\b((Claude Carignan)|([@]senatcarignan))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),315
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)((Claude Carignan)|([@]senatcarignan)),316
([^.?!]*)(\b((Claude Carignan)|([@]senatcarignan))\b)([^.?!]*)((integrity)|(unfit)),317
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Claude Carignan)|([@]senatcarignan)),318
([^.?!]*)(\b((Claude Carignan)|([@]senatcarignan))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),319
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Claude Carignan)|([@]senatcarignan)),320
([^.?!]*)(\b((Claude Carignan)|([@]senatcarignan))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),321
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Claude Carignan)|([@]senatcarignan)),322
([^.?!]*)(\b((Wilson-Raybould)|([@]Puglaas)|([@]MinJusticeEn))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)),323
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?))\b)([^.?!]*)((Wilson-Raybould)|([@]Puglaas)|([@]MinJusticeEn)),324
([^.?!]*)(\b((Wilson-Raybould)|([@]Puglaas)|([@]MinJusticeEn))\b)([^.?!]*)((integrity)|(unfit)),325
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Wilson-Raybould)|([@]Puglaas)|([@]MinJusticeEn)),326
([^.?!]*)(\b((Wilson-Raybould)|([@]Puglaas)|([@]MinJusticeEn))\b)([^.?!]*)((liar)|(lies?)|(lying)|(lied)),327
([^.?!]*)(\b((liar)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Wilson-Raybould)|([@]Puglaas)|([@]MinJusticeEn)),328
([^.?!]*)(\b((Wilson-Raybould)|([@]Puglaas)|([@]MinJusticeEn))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),329
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Wilson-Raybould)|([@]Puglaas)|([@]MinJusticeEn)),330
([^.?!]*)(\b((Parliament of Canada)|(Canada's Parliament)|(Canadian Parliament))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons)),331
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons))\b)([^.?!]*)((Parliament of Canada)|(Canada's Parliament)|(Canadian Parliament)),332
([^.?!]*)(\b((Parliament of Canada)|(Canada's Parliament)|(Canadian Parliament))\b)([^.?!]*)((integrity)|(unfit)),333
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Parliament of Canada)|(Canada's Parliament)|(Canadian Parliament)),334
([^.?!]*)(\b((Parliament of Canada)|(Canada's Parliament)|(Canadian Parliament))\b)([^.?!]*)((liars?)|(lies?)|(lying)|(lied)),335
([^.?!]*)(\b((liars?)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Parliament of Canada)|(Canada's Parliament)|(Canadian Parliament)),336
([^.?!]*)(\b((Parliament of Canada)|(Canada's Parliament)|(Canadian Parliament))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),337
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Parliament of Canada)|(Canada's Parliament)|(Canadian Parliament)),338
([^.?!]*)(\b((Canadian Senate)|(Senate of Canada)|([@]SenateCA)|(Canada's Senate))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons)),339
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons))\b)([^.?!]*)((Canadian Senate)|(Senate of Canada)|([@]SenateCA)|(Canada's Senate)),340
([^.?!]*)(\b((Canadian Senate)|(Senate of Canada)|([@]SenateCA)|(Canada's Senate))\b)([^.?!]*)((integrity)|(unfit)),341
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Canadian Senate)|(Senate of Canada)|([@]SenateCA)|(Canada's Senate)),342
([^.?!]*)(\b((Canadian Senate)|(Senate of Canada)|([@]SenateCA)|(Canada's Senate))\b)([^.?!]*)((liars?)|(lies?)|(lying)|(lied)),343
([^.?!]*)(\b((liars?)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Canadian Senate)|(Senate of Canada)|([@]SenateCA)|(Canada's Senate)),344
([^.?!]*)(\b((Canadian Senate)|(Senate of Canada)|([@]SenateCA)|(Canada's Senate))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),345
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Canadian Senate)|(Senate of Canada)|([@]SenateCA)|(Canada's Senate)),346
([^.?!]*)(\b((Canadian house of commons)|(House of commons of Canada)|(Canada's House of commons)|([@]OurCommons))\b)([^.?!]*)((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons)),347
([^.?!]*)(\b((stupid(ity)?)|(idiot(ic)?)|(incompetent)|(incompetency)|(moron(ic)?)|(idiots)|(morons))\b)([^.?!]*)((Canadian house of commons)|(House of commons of Canada)|(Canada's House of commons)|([@]OurCommons)),348
([^.?!]*)(\b((Canadian house of commons)|(House of commons of Canada)|(Canada's House of commons)|([@]OurCommons))\b)([^.?!]*)((integrity)|(unfit)),349
([^.?!]*)(\b((integrity)|(unfit))\b)([^.?!]*)((Canadian house of commons)|(House of commons of Canada)|(Canada's House of commons)|([@]OurCommons)),350
([^.?!]*)(\b((Canadian house of commons)|(House of commons of Canada)|(Canada's House of commons)|([@]OurCommons))\b)([^.?!]*)((liars?)|(lies?)|(lying)|(lied)),351
([^.?!]*)(\b((liars?)|(lies?)|(lying)|(lied))\b)([^.?!]*)((Canadian house of commons)|(House of commons of Canada)|(Canada's House of commons)|([@]OurCommons)),352
([^.?!]*)(\b((Canadian house of commons)|(House of commons of Canada)|(Canada's House of commons)|([@]OurCommons))\b)([^.?!]*)((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?)),353
([^.?!]*)(\b((corrupt(ion)?)|(crimes?)|(criminals?)|(thug(gery)?))\b)([^.?!]*)((Canadian house of commons)|(House of commons of Canada)|(Canada's House of commons)|([@]OurCommons)),354
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(economy),355
([^.?!]*)(\b(economy)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),356
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((unemployment)|(jobless(ness)?)),357
([^.?!]*)(\b((unemployment)|(jobless(ness)?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),358
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(poverty),359
([^.?!]*)(\b(poverty)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),360
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((wages?)|(incomes?)),361
([^.?!]*)(\b((wages?)|(incomes?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),362
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((inflation)|(prices?)),363
([^.?!]*)(\b((inflation)|(prices?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),364
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(deficit),365
([^.?!]*)(\b(deficit)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),366
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(tax(es)?),367
([^.?!]*)(\b(tax(es)?)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),368
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((economic depression)|(recession)),369
([^.?!]*)(\b((economic depression)|(recession))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),370
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(employment insurance),371
([^.?!]*)(\b(employment insurance)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),372
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(old age security),373
([^.?!]*)(\b(old age security)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),374
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(first nations?),375
([^.?!]*)(\b(first nations?)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),376
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(circonvenir),377
([^.?!]*)(\b(circonvenir)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),378
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(nepotism),379
([^.?!]*)(\b(nepotism)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),380
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((electoral fraud)|(election fraud)|(illegitimate elections?)|(voter fraud)|(voter? tampering)),381
([^.?!]*)(\b((electoral fraud)|(election fraud)|(illegitimate elections?)|(voter fraud)|(voter? tampering))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),382
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(election violence),383
([^.?!]*)(\b(election violence)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),384
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(human rights?),387
([^.?!]*)(\b(human rights?)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),388
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((slums?)|(ghettos?)),389
([^.?!]*)(\b((slums?)|(ghettos?))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),390
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)((injustices?)|(justice)),391
([^.?!]*)(\b((injustices?)|(justice))\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),392
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(rule of law),393
([^.?!]*)(\b(rule of law)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),394
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(inequality),395
([^.?!]*)(\b(inequality)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),396
([^.?!]*)(\b((Canada('s)?)|(Canadians?)|(canadiens?))\b)([^.?!]*)(homeless(ness)?),397
([^.?!]*)(\b(homeless(ness)?)\b)([^.?!]*)((Canada('s)?)|(Canadians?)|(canadiens?)),398
